date,price
07.04.2015,57
08.04.2015,56
09.04.2015,56
10.04.2015,56
13.04.2015,57
14.04.2015,57
15.04.2015,59
16.04.2015,60
17.04.2015,61
20.04.2015,61
21.04.2015,60
22.04.2015,60
23.04.2015,62
24.04.2015,62
27.04.2015,62
28.04.2015,62
29.04.2015,63
30.04.2015,63
01.05.2015,64
04.05.2015,64
05.05.2015,65
06.05.2015,66
07.05.2015,64
08.05.2015,63
11.05.2015,62
12.05.2015,65
13.05.2015,66
14.05.2015,65
15.05.2015,64
18.05.2015,65
19.05.2015,63
20.05.2015,63
21.05.2015,64
22.05.2015,64
26.05.2015,61
27.05.2015,62
28.05.2015,62
29.05.2015,65
01.06.2015,64
02.06.2015,65
03.06.2015,63
04.06.2015,62
05.06.2015,63
08.06.2015,62
09.06.2015,64
10.06.2015,65
11.06.2015,65
12.06.2015,63
15.06.2015,62
16.06.2015,63
17.06.2015,63
18.06.2015,64
19.06.2015,63
22.06.2015,63
23.06.2015,64
24.06.2015,63
25.06.2015,63
26.06.2015,63
29.06.2015,62
30.06.2015,63
01.07.2015,62
02.07.2015,62
03.07.2015,60
06.07.2015,56
07.07.2015,56
08.07.2015,57
09.07.2015,58
10.07.2015,58
13.07.2015,57
14.07.2015,58
15.07.2015,57
16.07.2015,57
17.07.2015,57
20.07.2015,56
21.07.2015,57
22.07.2015,56
23.07.2015,55
24.07.2015,54
27.07.2015,53
28.07.2015,53
29.07.2015,53
30.07.2015,53
31.07.2015,52
03.08.2015,49
04.08.2015,49
05.08.2015,49
06.08.2015,49
07.08.2015,48
10.08.2015,50
11.08.2015,49
12.08.2015,49
13.08.2015,49
14.08.2015,49
17.08.2015,48
18.08.2015,48
19.08.2015,47
20.08.2015,46
21.08.2015,45
24.08.2015,42
25.08.2015,43
26.08.2015,43
27.08.2015,47
28.08.2015,50
31.08.2015,54
01.09.2015,49
02.09.2015,50
03.09.2015,50
04.09.2015,49
07.09.2015,47
08.09.2015,49
09.09.2015,47
10.09.2015,48
11.09.2015,48
14.09.2015,46
15.09.2015,46
16.09.2015,49
17.09.2015,49
18.09.2015,47
21.09.2015,48
22.09.2015,49
23.09.2015,47
24.09.2015,48
25.09.2015,48
28.09.2015,47
29.09.2015,48
30.09.2015,48
01.10.2015,47
02.10.2015,48
05.10.2015,49
06.10.2015,51
07.10.2015,51
08.10.2015,53
09.10.2015,52
12.10.2015,49
13.10.2015,49
14.10.2015,49
15.10.2015,48
16.10.2015,50
19.10.2015,48
20.10.2015,48
21.10.2015,47
22.10.2015,48
23.10.2015,47
26.10.2015,47
27.10.2015,46
28.10.2015,49
29.10.2015,48
30.10.2015,49
02.11.2015,48
03.11.2015,50
04.11.2015,48
05.11.2015,47
06.11.2015,47
09.11.2015,47
10.11.2015,47
11.11.2015,45
12.11.2015,44
13.11.2015,43
16.11.2015,44
17.11.2015,43
18.11.2015,44
19.11.2015,44
20.11.2015,44
23.11.2015,44
24.11.2015,46
25.11.2015,46
26.11.2015,45
27.11.2015,44
30.11.2015,44
01.12.2015,44
02.12.2015,42
03.12.2015,43
04.12.2015,43
07.12.2015,40
08.12.2015,40
09.12.2015,40
10.12.2015,39
11.12.2015,37
14.12.2015,37
15.12.2015,38
16.12.2015,37
17.12.2015,37
18.12.2015,36
21.12.2015,36
22.12.2015,36
23.12.2015,37
24.12.2015,37
28.12.2015,36
29.12.2015,37
30.12.2015,36
31.12.2015,37
04.01.2016,37
05.01.2016,36
06.01.2016,34
07.01.2016,33
08.01.2016,33
11.01.2016,31
12.01.2016,30
13.01.2016,30
14.01.2016,31.ﭢ
15.01.2016,28
18.01.2016,28
19.01.2016,28
20.01.2016,27
21.01.2016,29
22.01.2016,32
25.01.2016,30.ﭢ
26.01.2016,31.ﭢ
27.01.2016,33
28.01.2016,33
29.01.2016,34
01.02.2016,34
02.02.2016,32
03.02.2016,35
04.02.2016,34
05.02.2016,34
08.02.2016,32
09.02.2016,30
10.02.2016,30
11.02.2016,30
12.02.2016,33
15.02.2016,33
16.02.2016,32
17.02.2016,34
18.02.2016,34
19.02.2016,33
22.02.2016,34
23.02.2016,33
24.02.2016,34
25.02.2016,35
26.02.2016,35
29.02.2016,35
01.03.2016,36
02.03.2016,36
03.03.2016,37
04.03.2016,38
07.03.2016,40
08.03.2016,39
09.03.2016,41
10.03.2016,40
11.03.2016,40
14.03.2016,39
15.03.2016,38
16.03.2016,40
17.03.2016,41
18.03.2016,41
21.03.2016,41
22.03.2016,41
23.03.2016,40
24.03.2016,40
28.03.2016,40
29.03.2016,39
30.03.2016,39
31.03.2016,39
01.04.2016,38
04.04.2016,37
05.04.2016,37
06.04.2016,39
07.04.2016,39
08.04.2016,41
11.04.2016,42
12.04.2016,44
13.04.2016,44
14.04.2016,43
15.04.2016,43
18.04.2016,42
19.04.2016,44
20.04.2016,45
21.04.2016,44
22.04.2016,45
25.04.2016,44
26.04.2016,45
27.04.2016,47
28.04.2016,48
29.04.2016,48
02.05.2016,45
03.05.2016,44
04.05.2016,44
05.05.2016,45
06.05.2016,45
09.05.2016,43
10.05.2016,45
11.05.2016,47
12.05.2016,48
13.05.2016,47
16.05.2016,48
17.05.2016,49
18.05.2016,48
19.05.2016,48
20.05.2016,48
23.05.2016,48
24.05.2016,48
25.05.2016,49
26.05.2016,49
27.05.2016,49
30.05.2016,49
31.05.2016,49
01.06.2016,49
02.06.2016,50
03.06.2016,49
06.06.2016,50
07.06.2016,51
08.06.2016,52
09.06.2016,51
10.06.2016,50
13.06.2016,50
14.06.2016,49
15.06.2016,48
16.06.2016,47
17.06.2016,49
20.06.2016,50
21.06.2016,50
22.06.2016,49
23.06.2016,50
24.06.2016,48
27.06.2016,47
28.06.2016,48
29.06.2016,50
30.06.2016,49
01.07.2016,50
04.07.2016,50
05.07.2016,47
06.07.2016,48
07.07.2016,46
08.07.2016,46
11.07.2016,46
12.07.2016,48
13.07.2016,46
14.07.2016,47
15.07.2016,47
18.07.2016,46
19.07.2016,46
20.07.2016,47
21.07.2016,46
22.07.2016,45
25.07.2016,44
26.07.2016,44
27.07.2016,43
28.07.2016,42
29.07.2016,42
01.08.2016,42
02.08.2016,41
03.08.2016,43
04.08.2016,44
05.08.2016,44
08.08.2016,45
09.08.2016,44
10.08.2016,44
11.08.2016,46
12.08.2016,46
15.08.2016,48
16.08.2016,49
17.08.2016,49
18.08.2016,50
19.08.2016,50
22.08.2016,49
23.08.2016,49
24.08.2016,49
25.08.2016,49
26.08.2016,49
29.08.2016,49
30.08.2016,48
31.08.2016,47
01.09.2016,45
02.09.2016,46
05.09.2016,47
06.09.2016,47
07.09.2016,47
08.09.2016,49
09.09.2016,48
12.09.2016,48
13.09.2016,47
14.09.2016,45
15.09.2016,46
16.09.2016,45
19.09.2016,45
20.09.2016,45
21.09.2016,46
22.09.2016,47
23.09.2016,45
26.09.2016,47
27.09.2016,45
28.09.2016,48
29.09.2016,49
30.09.2016,49
03.10.2016,50
04.10.2016,50
05.10.2016,51
06.10.2016,52
07.10.2016,51
10.10.2016,53
11.10.2016,52
12.10.2016,51
13.10.2016,52
14.10.2016,51
17.10.2016,51
18.10.2016,51
19.10.2016,52
20.10.2016,51
21.10.2016,51
24.10.2016,51
25.10.2016,50
26.10.2016,49
27.10.2016,50
28.10.2016,49
31.10.2016,48
01.11.2016,48
02.11.2016,46
03.11.2016,46
04.11.2016,45
07.11.2016,46
08.11.2016,46
09.11.2016,46
10.11.2016,45
11.11.2016,44
14.11.2016,44
15.11.2016,46
16.11.2016,46
17.11.2016,46
18.11.2016,46
21.11.2016,48
22.11.2016,49
23.11.2016,48
24.11.2016,49
25.11.2016,47
28.11.2016,48
29.11.2016,46
30.11.2016,50
01.12.2016,53
02.12.2016,54
05.12.2016,54
06.12.2016,53
07.12.2016,53
08.12.2016,53
09.12.2016,54
12.12.2016,55
13.12.2016,55
14.12.2016,53
15.12.2016,54
16.12.2016,55
19.12.2016,54
20.12.2016,55
21.12.2016,54
22.12.2016,55
23.12.2016,55
27.12.2016,56
28.12.2016,56
29.12.2016,56
30.12.2016,56
02.01.2017,56
03.01.2017,55
04.01.2017,56
05.01.2017,56
06.01.2017,57
09.01.2017,54
10.01.2017,53
11.01.2017,55
12.01.2017,56
13.01.2017,55
16.01.2017,55
17.01.2017,55
18.01.2017,53
19.01.2017,54
20.01.2017,55
23.01.2017,55
24.01.2017,55
25.01.2017,55
26.01.2017,56
27.01.2017,55
30.01.2017,55
31.01.2017,55
01.02.2017,56
02.02.2017,56
03.02.2017,56
06.02.2017,55
07.02.2017,55
08.02.2017,55
09.02.2017,55
10.02.2017,56
13.02.2017,55
14.02.2017,55
15.02.2017,55
16.02.2017,55
17.02.2017,55
20.02.2017,56
21.02.2017,56
22.02.2017,55
23.02.2017,56
24.02.2017,55
27.02.2017,55
28.02.2017,55
01.03.2017,56
02.03.2017,55
03.03.2017,55
06.03.2017,56
07.03.2017,55
08.03.2017,53
09.03.2017,52
10.03.2017,51
13.03.2017,51
14.03.2017,50
15.03.2017,51
16.03.2017,51
17.03.2017,51
20.03.2017,51
21.03.2017,50
22.03.2017,50
23.03.2017,50
24.03.2017,50
27.03.2017,50
28.03.2017,51
29.03.2017,52
30.03.2017,52
31.03.2017,52
03.04.2017,53
04.04.2017,54
05.04.2017,54
06.04.2017,54
07.04.2017,55
10.04.2017,55
11.04.2017,56
12.04.2017,55
13.04.2017,55
17.04.2017,55
18.04.2017,54
19.04.2017,52
20.04.2017,52
21.04.2017,51
24.04.2017,51
25.04.2017,52
26.04.2017,51
27.04.2017,51
28.04.2017,51
01.05.2017,51
02.05.2017,50
03.05.2017,50
04.05.2017,48
05.05.2017,49
08.05.2017,49
09.05.2017,48
10.05.2017,50
11.05.2017,50
12.05.2017,50
15.05.2017,51
16.05.2017,51
17.05.2017,52
18.05.2017,52
19.05.2017,53
22.05.2017,53
23.05.2017,54
24.05.2017,53
25.05.2017,51
26.05.2017,52
29.05.2017,52
30.05.2017,51
31.05.2017,50
01.06.2017,50
02.06.2017,49
05.06.2017,49
06.06.2017,50
07.06.2017,48
08.06.2017,47
09.06.2017,48
12.06.2017,48
13.06.2017,48
14.06.2017,47
15.06.2017,46
16.06.2017,47
19.06.2017,46
20.06.2017,46
21.06.2017,44
22.06.2017,45
23.06.2017,45
26.06.2017,45
27.06.2017,46
28.06.2017,47
29.06.2017,47
30.06.2017,47
03.07.2017,49
04.07.2017,49
05.07.2017,47
06.07.2017,48
07.07.2017,46
10.07.2017,46
11.07.2017,47
12.07.2017,47
13.07.2017,48
14.07.2017,48
17.07.2017,48
18.07.2017,48
19.07.2017,49
20.07.2017,49
21.07.2017,48
24.07.2017,48
25.07.2017,50
26.07.2017,50
27.07.2017,51
28.07.2017,52
31.07.2017,52
01.08.2017,51
02.08.2017,52
